Tytul;issn;eissn;punkty;;;;;;;;
JOURNAL OF URBAN PLANNING AND DEVELOPMENT;0733-9488;;35;;;;;;;;
JOURNAL OF URBAN TECHNOLOGY;1063-0732;;30;;;;;;;;
JOURNAL OF UROLOGY;0022-5347;;40;;;;;;;;
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A;0734-2101;;30;;;;;;;;
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B;1071-1023;;25;;;;;;;;
JOURNAL OF VALUE INQUIRY;0022-5363;;15;;;;;;;;
Journal of Vascular Access;1129-7298;;15;;;;;;;;
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY;1051-0443;;30;;;;;;;;
JOURNAL OF VASCULAR RESEARCH;1018-1172;;25;;;;;;;;
JOURNAL OF VASCULAR SURGERY;0741-5214;;40;;;;;;;;
Journal of Vascular Surgery-Venous and Lymphatic Disorders;2213-333X;;15;;;;;;;;
JOURNAL OF VECTOR BORNE DISEASES;0972-9062;;20;;;;;;;;
JOURNAL OF VECTOR ECOLOGY;1081-1710;;30;;;;;;;;
JOURNAL OF VEGETATION SCIENCE;1100-9233;;40;;;;;;;;
JOURNAL OF VENOMOUS ANIMALS AND TOXINS
INCLUDING TROPICAL DISEASES;1678-9199;;20;;;;;;;;
JOURNAL OF VERTEBRATE PALEONTOLOGY;0272-4634;;40;;;;;;;;
JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM &
ORIENTATION;0957-4271;;20;;;;;;;;
Journal of Veterinary Behavior-Clinical Applications and
Research;1558-7878;;25;;;;;;;;
Journal of Veterinary Cardiology;1760-2734;;30;;;;;;;;
JOURNAL OF VETERINARY DENTISTRY;0898-7564;;20;;;;;;;;
JOURNAL OF VETERINARY DIAGNOSTIC INVESTIGATION;1040-6387;;30;;;;;;;;
JOURNAL OF VETERINARY EMERGENCY AND CRITICAL CARE;1479-3261;;30;;;;;;;;
JOURNAL OF VETERINARY INTERNAL MEDICINE;0891-6640;;45;;;;;;;;
JOURNAL OF VETERINARY MEDICAL EDUCATION;0748-321X;;25;;;;;;;;
JOURNAL OF VETERINARY MEDICAL SCIENCE;0916-7250;;25;;;;;;;;
JOURNAL OF VETERINARY PHARMACOLOGY AND
THERAPEUTICS;0140-7783;;30;;;;;;;;
Journal of Veterinary Research;2450-7393;;20;;;;;;;;
Journal of Veterinary Science;1229-845X;;30;;;;;;;;
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS
OF THE ASME;1048-9002;;25;;;;;;;;
JOURNAL OF VIBRATION AND CONTROL;1077-5463;;45;;;;;;;;
Journal of Vibration Engineering & Technologies;2321-3558;;15;;;;;;;;
Journal of Vibroengineering;1392-8716;;15;;;;;;;;
Journal of Victorian Culture;1355-5502;;35;;;;;;;;
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY;1083-5601;;25;;;;;;;;
JOURNAL OF VIRAL HEPATITIS;1352-0504;;35;;;;;;;;
JOURNAL OF VIROLOGICAL METHODS;0166-0934;;20;;;;;;;;
JOURNAL OF VIROLOGY;0022-538X;;40;;;;;;;;
Journal of Visceral Surgery;1878-7886;;25;;;;;;;;
JOURNAL OF VISION;1534-7362;;40;;;;;;;;
JOURNAL OF VISUAL COMMUNICATION AND IMAGE
REPRESENTATION;1047-3203;;30;;;;;;;;
JOURNAL OF VISUAL CULTURE;1470-4129;;25;;;;;;;;
JOURNAL OF VISUAL IMPAIRMENT & BLINDNESS;0145-482X;;20;;;;;;;;
JOURNAL OF VISUAL LANGUAGES AND COMPUTING;1045-926X;;20;;;;;;;;
JOURNAL OF VISUALIZATION;1343-8875;;15;;;;;;;;
JOURNAL OF VOCATIONAL BEHAVIOR;0001-8791;;40;;;;;;;;
JOURNAL OF VOICE;0892-1997;;30;;;;;;;;
JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH;0377-0273;;35;;;;;;;;
Journal of Volcanology and Seismology;0742-0463;;15;;;;;;;;
Journal of Water and Climate Change;2040-2244;;20;;;;;;;;
JOURNAL OF WATER AND HEALTH;1477-8920;;20;;;;;;;;
Journal of Water Chemistry and Technology;1063-455X;;15;;;;;;;;
JOURNAL OF WATER RESOURCES PLANNING AND
MANAGEMENT;0733-9496;;45;;;;;;;;
Journal of Water Reuse and Desalination;2220-1319;;15;;;;;;;;
Journal of Water Sanitation and Hygiene for Development;2043-9083;;15;;;;;;;;
JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-
AQUA;0003-7214;;20;;;;;;;;
JOURNAL OF WATERWAY PORT COASTAL AND OCEAN
ENGINEERING;0733-950X;;25;;;;;;;;
Journal of Web Engineering;1540-9589;;15;;;;;;;;
Journal of Web Semantics;1570-8268;;40;;;;;;;;
JOURNAL OF WILDLIFE DISEASES;0090-3558;;30;;;;;;;;
JOURNAL OF WILDLIFE MANAGEMENT;0022-541X;;30;;;;;;;;
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL
AERODYNAMICS;0167-6105;;40;;;;;;;;
JOURNAL OF WOMEN & AGING;0895-2841;;25;;;;;;;;
Journal of Women Politics & Policy;1554-477X;;20;;;;;;;;
JOURNAL OF WOMENS HEALTH;1540-9996;;35;;;;;;;;
JOURNAL OF WOMENS HISTORY;1042-7961;;20;;;;;;;;
JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY;0277-3813;;40;;;;;;;;
JOURNAL OF WOOD SCIENCE;1435-0211;;30;;;;;;;;
JOURNAL OF WORLD BUSINESS;1090-9516;;35;;;;;;;;
Journal of World Energy Law & Business;1754-9957;;15;;;;;;;;
JOURNAL OF WORLD PREHISTORY;0892-7537;;40;;;;;;;;
JOURNAL OF WORLD TRADE;1011-6702;;20;;;;;;;;
Journal of Wound Care;0969-0700;;25;;;;;;;;
Journal of Wound Ostomy and Continence Nursing;1071-5754;;30;;;;;;;;
JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-
MATERIALS SCIENCE EDITION;1000-2413;;15;;;;;;;;
Journal of X-Ray Science and Technology;0895-3996;;25;;;;;;;;
JOURNAL OF YOUTH AND ADOLESCENCE;0047-2891;;35;;;;;;;;
Journal of Youth Studies;1367-6261;;35;;;;;;;;
Journal of Zhejiang University-SCIENCE A;1673-565X;;20;;;;;;;;
Journal of Zhejiang University-SCIENCE B;1673-1581;;20;;;;;;;;
JOURNAL OF ZOO AND WILDLIFE MEDICINE;1042-7260;;20;;;;;;;;
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND
EVOLUTIONARY RESEARCH;0947-5745;;30;;;;;;;;
JOURNAL OF ZOOLOGY;0952-8369;;35;;;;;;;;
Journal on Multimodal User Interfaces;1783-7677;;20;;;;;;;;
Journalism;1464-8849;;25;;;;;;;;
JOURNALISM & MASS COMMUNICATION QUARTERLY;1077-6990;;30;;;;;;;;
Journalism Studies;1461-670X;;25;;;;;;;;
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL
SCIENCES AND MEDICAL SCIENCES;1079-5006;;50;;;;;;;;
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL
SCIENCES AND SOCIAL SCIENCES;1079-5014;;40;;;;;;;;
Jove-Journal of Visualized Experiments;1940-087X;;30;;;;;;;;
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC;0933-4173;;15;;;;;;;;
JSLS-Journal of the Society of Laparoendoscopic Surgeons;1086-8089;;20;;;;;;;;
Judgment and Decision Making;1930-2975;;35;;;;;;;;
JUDICATURE;0022-5800;;20;;;;;;;;
Jundishapur Journal of Microbiology;2008-3645;;15;;;;;;;;
JUSTICE QUARTERLY;0741-8825;;40;;;;;;;;
JUSTICE SYSTEM JOURNAL;0098-261X;;15;;;;;;;;
JUVENILE AND FAMILY COURT JOURNAL;0161-7109;;15;;;;;;;;
Kafkas Universitesi Veteriner Fakultesi Dergisi;1300-6045;;20;;;;;;;;
KAGAKU KOGAKU RONBUNSHU;0386-216X;;15;;;;;;;;
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES;1607-551X;;15;;;;;;;;
Kardiochirurgia i Torakochirurgia Polska;1731-5530;1897-4252;15;;;;;;;;
Kardiologia Polska;0022-9032;;15;;;;;;;;
KARDIOLOGIYA;0022-9040;;15;;;;;;;;
Kasmera;0075-5222;;15;;;;;;;;
KEDI Journal of Educational Policy;1739-4341;;15;;;;;;;;
KENNEDY INSTITUTE OF ETHICS JOURNAL;1054-6863;;30;;;;;;;;
KERNTECHNIK;0932-3902;;15;;;;;;;;
KEW BULLETIN;0075-5974;;15;;;;;;;;
KGK-Kautschuk Gummi Kunststoffe;0948-3276;;15;;;;;;;;
KIDNEY & BLOOD PRESSURE RESEARCH;1420-4096;;25;;;;;;;;
KIDNEY INTERNATIONAL;0085-2538;;45;;;;;;;;
Kidney International Supplements;2157-1724;;50;;;;;;;;
Kindheit und Entwicklung;0942-5403;;25;;;;;;;;
Kinematics and Physics of Celestial Bodies;0884-5913;;15;;;;;;;;
Kinesiology;1331-1441;;15;;;;;;;;
Kinetic and Related Models;1937-5093;;40;;;;;;;;
KINETICS AND CATALYSIS;0023-1584;;15;;;;;;;;
KLEINTIERPRAXIS;0023-2076;;15;;;;;;;;
KLINIK PSIKOFARMAKOLOJI BULTENI-BULLETIN OF CLINICAL
PSYCHOPHARMACOLOGY;1017-7833;;15;;;;;;;;
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE;0023-2165;;15;;;;;;;;
KLINISCHE NEUROPHYSIOLOGIE;1434-0275;;15;;;;;;;;
KLINISCHE PADIATRIE;0300-8630;;25;;;;;;;;
KNEE;0968-0160;;30;;;;;;;;
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;0942-2056;;35;;;;;;;;
KNOWLEDGE AND INFORMATION SYSTEMS;0219-1377;;35;;;;;;;;
Knowledge and Management of Aquatic Ecosystems;1961-9502;;20;;;;;;;;
KNOWLEDGE ENGINEERING REVIEW;0269-8889;;25;;;;;;;;
Knowledge Management Research & Practice;1477-8238;;25;;;;;;;;
KNOWLEDGE ORGANIZATION;0943-7444;;20;;;;;;;;
KNOWLEDGE-BASED SYSTEMS;0950-7051;;40;;;;;;;;
KOBUNSHI RONBUNSHU;0386-2186;;15;;;;;;;;
Kodai Mathematical Journal;0386-5991;;15;;;;;;;;
KOEDOE;0075-6458;;25;;;;;;;;
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND
SOZIALPSYCHOLOGIE;0023-2653;;20;;;;;;;;
KONA Powder and Particle Journal;0288-4534;;25;;;;;;;;
Korea Observer;0023-3919;;20;;;;;;;;
KOREA-AUSTRALIA RHEOLOGY JOURNAL;1226-119X;;20;;;;;;;;
Korean Circulation Journal;1738-5520;;15;;;;;;;;
Korean Economic Review;0254-3737;;15;;;;;;;;
Korean Journal for Food Science of Animal Resources;1225-8563;;15;;;;;;;;
KOREAN JOURNAL OF CHEMICAL ENGINEERING;0256-1115;;25;;;;;;;;
KOREAN JOURNAL OF DEFENSE ANALYSIS;1016-3271;;15;;;;;;;;
Korean Journal of Horticultural Science & Technology;1226-8763;;15;;;;;;;;
KOREAN JOURNAL OF INTERNAL MEDICINE;1226-3303;;25;;;;;;;;
Korean Journal of Laboratory Medicine;1598-6535;;15;;;;;;;;
Korean Journal of Metals and Materials;1738-8228;;30;;;;;;;;
Korean Journal of Orthodontics;2234-7518;;15;;;;;;;;
KOREAN JOURNAL OF PARASITOLOGY;0023-4001;;20;;;;;;;;
Korean Journal of Pathology;1738-1843;;15;;;;;;;;
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY;1226-4512;;20;;;;;;;;
KOREAN JOURNAL OF RADIOLOGY;1229-6929;;25;;;;;;;;
Korrozios Figyelo;0133-2546;;15;;;;;;;;
KOVOVE MATERIALY-METALLIC MATERIALS;0023-432X;;20;;;;;;;;
Kriminologisches Journal;0341-1966;;15;;;;;;;;
KSCE Journal of Civil Engineering;1226-7988;;20;;;;;;;;
KSII Transactions on Internet and Information Systems;1976-7277;;20;;;;;;;;
Kuwait Journal of Science;2307-4108;;15;;;;;;;;
KUWAIT JOURNAL OF SCIENCE & ENGINEERING;1024-8684;;15;;;;;;;;
Kuwait Medical Journal;0023-5776;;15;;;;;;;;
KYBERNETES;0368-492X;;15;;;;;;;;
KYBERNETIKA;0023-5954;;15;;;;;;;;
KYKLOS;0023-5962;;30;;;;;;;;
Kyoto Journal of Mathematics;2156-2261;;30;;;;;;;;
Kyushu Journal of Mathematics;1340-6116;;15;;;;;;;;
L’Homme;0439-4216;;20;;;;;;;;
LAB ANIMAL;0093-7355;;20;;;;;;;;
LAB ON A CHIP;1473-0197;;40;;;;;;;;
Labmedicine;0007-5027;;15;;;;;;;;
LABOR HISTORY;0023-656X;;20;;;;;;;;
LaboratoriumsMedizin-Journal of Laboratory Medicine;0342-3026;;15;;;;;;;;
LABORATORY ANIMALS;0023-6772;;35;;;;;;;;
LABORATORY INVESTIGATION;0023-6837;;40;;;;;;;;
Laboratory Phonology;1868-6346;;25;;;;;;;;
LABOUR ECONOMICS;0927-5371;;30;;;;;;;;
Labour History;0023-6942;;15;;;;;;;;
LABOUR-LE TRAVAIL;0700-3862;;35;;;;;;;;
Laeknabladid;0023-7213;;15;;;;;;;;
LAKE AND RESERVOIR MANAGEMENT;1040-2381;;20;;;;;;;;
LANCET;0140-6736;;50;;;;;;;;
Lancet Diabetes & Endocrinology;2213-8587;;50;;;;;;;;
Lancet Global Health;2214-109X;;50;;;;;;;;
Lancet Haematology;2352-3026;;35;;;;;;;;
Lancet HIV;2352-3018;;45;;;;;;;;
LANCET INFECTIOUS DISEASES;1473-3099;;50;;;;;;;;
LANCET NEUROLOGY;1474-4422;;50;;;;;;;;
LANCET ONCOLOGY;1470-2045;;50;;;;;;;;
Lancet Psychiatry;2215-0374;;40;;;;;;;;
Lancet Respiratory Medicine;2213-2600;;50;;;;;;;;
LAND DEGRADATION & DEVELOPMENT;1085-3278;;50;;;;;;;;
LAND ECONOMICS;0023-7639;;35;;;;;;;;
LAND USE POLICY;0264-8377;;40;;;;;;;;
Landbauforschung;0458-6859;;20;;;;;;;;
Landscape and Ecological Engineering;1860-1871;;20;;;;;;;;
LANDSCAPE AND URBAN PLANNING;0169-2046;;40;;;;;;;;
LANDSCAPE ECOLOGY;0921-2973;;40;;;;;;;;
Landscape Research;0142-6397;;25;;;;;;;;
Landslides;1612-510X;;45;;;;;;;;
LANGENBECKS ARCHIVES OF SURGERY;1435-2443;;30;;;;;;;;
LANGMUIR;0743-7463;;35;;;;;;;;
LANGUAGE;0097-8507;;45;;;;;;;;
LANGUAGE & COMMUNICATION;0271-5309;;30;;;;;;;;
Language & History;1759-7536;;15;;;;;;;;
Language Acquisition;1048-9223;;35;;;;;;;;
LANGUAGE AND COGNITIVE PROCESSES;0169-0965;;35;;;;;;;;
Language and Education;0950-0782;;25;;;;;;;;
Language and Intercultural Communication;1470-8477;;30;;;;;;;;
Language and Linguistics;1606-822X;;20;;;;;;;;
Language and Literature;0963-9470;;20;;;;;;;;
LANGUAGE AND SPEECH;0023-8309;;25;;;;;;;;
Language Assessment Quarterly;1543-4303;;25;;;;;;;;
Language Awareness;0965-8416;;25;;;;;;;;
Language Cognition and Neuroscience;2327-3798;;20;;;;;;;;
Language Culture and Curriculum;0790-8318;;25;;;;;;;;
LANGUAGE IN SOCIETY;0047-4045;;35;;;;;;;;
LANGUAGE LEARNING;0023-8333;;45;;;;;;;;
LANGUAGE LEARNING & TECHNOLOGY;1094-3501;;45;;;;;;;;
Language Matters;1022-8195;;20;;;;;;;;
Language Policy;1568-4555;;30;;;;;;;;
Language Problems & Language Planning;0272-2690;;20;;;;;;;;
Language Resources and Evaluation;1574-020X;;25;;;;;;;;
LANGUAGE SCIENCES;0388-0001;;25;;;;;;;;
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS;0161-1461;;35;;;;;;;;
Language Teaching;0261-4448;;45;;;;;;;;
Language Teaching Research;1362-1688;;40;;;;;;;;
Language Testing;0265-5322;;35;;;;;;;;
Language Variation and Change;0954-3945;;40;;;;;;;;
Large Animal Review;1124-4593;;15;;;;;;;;
LARYNGO-RHINO-OTOLOGIE;0935-8943;;15;;;;;;;;
LARYNGOSCOPE;0023-852X;;35;;;;;;;;
Laser & Photonics Reviews;1863-8880;;45;;;;;;;;
LASER AND PARTICLE BEAMS;0263-0346;;30;;;;;;;;
LASER FOCUS WORLD;1043-8092;;15;;;;;;;;
LASER PHYSICS;1054-660X;;30;;;;;;;;
LASER PHYSICS LETTERS;1612-2011;;50;;;;;;;;
LASERS IN ENGINEERING;0898-1507;;15;;;;;;;;
LASERS IN MEDICAL SCIENCE;0268-8921;;35;;;;;;;;
LASERS IN SURGERY AND MEDICINE;0196-8092;;40;;;;;;;;
LATERALITY;1357-650X;;25;;;;;;;;
LATIN AMERICAN APPLIED RESEARCH;0327-0793;;15;;;;;;;;
Latin American Economic Review;2198-3526;;15;;;;;;;;
Latin American Journal of Aquatic Research;0718-560X;;15;;;;;;;;
Latin American Journal of Pharmacy;0326-2383;;15;;;;;;;;
Latin American Journal of Solids and Structures;1679-7825;;30;;;;;;;;
LATIN AMERICAN PERSPECTIVES;0094-582X;;25;;;;;;;;
LATIN AMERICAN POLITICS AND SOCIETY;1531-426X;;25;;;;;;;;
LATIN AMERICAN RESEARCH REVIEW;0023-8791;;25;;;;;;;;
Law & Policy;0265-8240;;30;;;;;;;;
LAW & SOCIETY REVIEW;0023-9216;;40;;;;;;;;
Law and History Review;0738-2480;;30;;;;;;;;
LAW AND HUMAN BEHAVIOR;0147-7307;;40;;;;;;;;
LAW AND PHILOSOPHY;0167-5249;;20;;;;;;;;
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN
BAR FOUNDATION;0897-6546;;25;;;;;;;;
LAW LIBRARY JOURNAL;0023-9283;;20;;;;;;;;
LAW PROBABILITY & RISK;1470-8396;;20;;;;;;;;
LC GC EUROPE;1471-6577;;15;;;;;;;;
LC GC NORTH AMERICA;1527-5949;;15;;;;;;;;
Le Travail Humain;0041-1868;;20;;;;;;;;
Leadership;1742-7150;;25;;;;;;;;
Leadership & Organization Development Journal;0143-7739;;25;;;;;;;;
LEADERSHIP QUARTERLY;1048-9843;;40;;;;;;;;
LEARNED PUBLISHING;0953-1513;;25;;;;;;;;
LEARNING & BEHAVIOR;1543-4494;;25;;;;;;;;
LEARNING & MEMORY;1072-0502;;35;;;;;;;;
LEARNING AND INDIVIDUAL DIFFERENCES;1041-6080;;30;;;;;;;;
LEARNING AND INSTRUCTION;0959-4752;;50;;;;;;;;
Learning and Motivation;0023-9690;;25;;;;;;;;
Learning Culture and Social Interaction;2210-6561;;20;;;;;;;;
Learning Disabilities Research & Practice;0938-8982;;20;;;;;;;;
LEARNING DISABILITY QUARTERLY;0731-9487;;25;;;;;;;;
Learning Media and Technology;1743-9884;;35;;;;;;;;
Lecture Notes in Mathematics;0075-8434;;35;;;;;;;;
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY;1355-3259;;35;;;;;;;;
Legal Medicine;1344-6223;;25;;;;;;;;
LEGISLATIVE STUDIES QUARTERLY;0362-9805;;30;;;;;;;;
Legume Research;0250-5371;;15;;;;;;;;
Leiden Journal of International Law;0922-1565;;25;;;;;;;;
LEISURE SCIENCES;0149-0400;;35;;;;;;;;
Leisure Studies;0261-4367;;20;;;;;;;;
L'Encéphale;0013-7006;;25;;;;;;;;
LEPROSY REVIEW;0305-7518;;20;;;;;;;;
LETHAIA;0024-1164;;40;;;;;;;;
LETTERS IN APPLIED MICROBIOLOGY;0266-8254;;25;;;;;;;;
Letters in Drug Design & Discovery;1570-1808;;15;;;;;;;;
LETTERS IN MATHEMATICAL PHYSICS;0377-9017;;30;;;;;;;;
LETTERS IN ORGANIC CHEMISTRY;1570-1786;;15;;;;;;;;
LEUKEMIA;0887-6924;;45;;;;;;;;
LEUKEMIA & LYMPHOMA;1042-8194;;25;;;;;;;;
LEUKEMIA RESEARCH;0145-2126;;25;;;;;;;;
Leukos;1550-2724;;25;;;;;;;;
Lex Localis-Journal of Local Self-Government;1581-5374;;20;;;;;;;;
Lexikos;1684-4904;;15;;;;;;;;
LGBT Health;2325-8292;;30;;;;;;;;
Libraries & The Cultural Record;1932-4855;;20;;;;;;;;
LIBRARY & INFORMATION SCIENCE RESEARCH;0740-8188;;35;;;;;;;;
LIBRARY AND INFORMATION SCIENCE;0373-4447;;15;;;;;;;;
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL
SERVICES;1464-9055;;25;;;;;;;;
LIBRARY HI TECH;0737-8831;;25;;;;;;;;
LIBRARY JOURNAL;0363-0277;;20;;;;;;;;
LIBRARY QUARTERLY;0024-2519;;25;;;;;;;;
LIBRARY RESOURCES & TECHNICAL SERVICES;0024-2527;;25;;;;;;;;
LIBRARY TRENDS;0024-2594;;20;;;;;;;;
LIBRI;0024-2667;;15;;;;;;;;
Libyan Journal of Medicine;1993-2820;;20;;;;;;;;
LICHENOLOGIST;0024-2829;;25;;;;;;;;
Life Science Journal-Acta Zhengzhou University Overseas
Edition;1097-8135;;15;;;;;;;;
LIFE SCIENCES;0024-3205;;30;;;;;;;;
LIFETIME DATA ANALYSIS;1380-7870;;25;;;;;;;;
Light & Engineering;0236-2945;;15;;;;;;;;
Lighting Research & Technology;1477-1535;;35;;;;;;;;
Light-Science & Applications;2047-7538;;50;;;;;;;;
LIMNETICA;0213-8409;;20;;;;;;;;
LIMNOLOGICA;0075-9511;;30;;;;;;;;
LIMNOLOGY;1439-8621;;20;;;;;;;;
LIMNOLOGY AND OCEANOGRAPHY;0024-3590;;50;;;;;;;;
LIMNOLOGY AND OCEANOGRAPHY-METHODS;1541-5856;;35;;;;;;;;
LINEAR & MULTILINEAR ALGEBRA;0308-1087;;25;;;;;;;;
LINEAR ALGEBRA AND ITS APPLICATIONS;0024-3795;;30;;;;;;;;
LINGUA;0024-3841;;30;;;;;;;;
LINGUISTIC INQUIRY;0024-3892;;45;;;;;;;;
LINGUISTIC REVIEW;0167-6318;;25;;;;;;;;
Linguistic Typology;1430-0532;;20;;;;;;;;
Linguistica Antverpiensia New Series-Themes in Translation
Studies;0304-2294;;20;;;;;;;;
Linguistica Pragensia;0862-8432;;15;;;;;;;;
LINGUISTICS;0024-3949;;25;;;;;;;;
LINGUISTICS AND PHILOSOPHY;0165-0157;;30;;;;;;;;
LIPIDS;0024-4201;;25;;;;;;;;
Lipids in Health and Disease;1476-511X;;25;;;;;;;;
LIQUID CRYSTALS;0267-8292;;30;;;;;;;;
Liquid Crystals Reviews;2168-0396;;35;;;;;;;;
LISTY CUKROVARNICKE A REPARSKE;1210-3306;;15;;;;;;;;
Literacy;1741-4350;;25;;;;;;;;
LITHOLOGY AND MINERAL RESOURCES;0024-4902;;15;;;;;;;;
LITHOS;0024-4937;;45;;;;;;;;
Lithosphere;1941-8264;;35;;;;;;;;
Lithuanian Journal of Physics;1648-8504;;15;;;;;;;;
Lithuanian Mathematical Journal;0363-1672;;20;;;;;;;;
LIVER INTERNATIONAL;1478-3223;;35;;;;;;;;
LIVER TRANSPLANTATION;1527-6465;;40;;;;;;;;
Livestock Science;1871-1413;;35;;;;;;;;
Living Reviews in Relativity;1433-8351;;50;;;;;;;;
Living Reviews in Solar Physics;1614-4961;;50;;;;;;;;
Ljetopis Socijalnog Rada;1846-5412;;15;;;;;;;;
LMS Journal of Computation and Mathematics;1461-1570;;20;;;;;;;;
LOCAL GOVERNMENT STUDIES;0300-3930;;25;;;;;;;;
LOGIC JOURNAL OF THE IGPL;1367-0751;;30;;;;;;;;
Logical Methods in Computer Science;1860-5974;;25;;;;;;;;
Logopedics, Phoniatrics, Vocology;1401-5439;1651-2022;20;;;;;;;;
London Journal;0305-8034;;20;;;;;;;;
LONG RANGE PLANNING;0024-6301;;45;;;;;;;;
LOW TEMPERATURE PHYSICS;1063-777X;;20;;;;;;;;
Lubrication Science;0954-0075;;25;;;;;;;;
LUMINESCENCE;1522-7235;;15;;;;;;;;
LUNG;0341-2040;;20;;;;;;;;
LUNG CANCER;0169-5002;;35;;;;;;;;
LUPUS;0961-2033;;30;;;;;;;;
LUTS-Lower Urinary Tract Symptoms;1757-5664;;15;;;;;;;;
LWT-FOOD SCIENCE AND TECHNOLOGY;0023-6438;;40;;;;;;;;
Lymphatic Research and Biology;1539-6851;;25;;;;;;;;
LYMPHOLOGY;0024-7766;;20;;;;;;;;
M S-MEDECINE SCIENCES;0767-0974;;15;;;;;;;;
M&SOM-Manufacturing & Service Operations Management;1523-4614;;35;;;;;;;;
mAbs;1942-0862;;40;;;;;;;;
Macedonian Journal of Chemistry and Chemical engineering;1857-5552;;20;;;;;;;;
MACHINE LEARNING;0885-6125;;35;;;;;;;;
MACHINE VISION AND APPLICATIONS;0932-8092;;25;;;;;;;;
MACHINING SCIENCE AND TECHNOLOGY;1091-0344;;20;;;;;;;;
MACROECONOMIC DYNAMICS;1365-1005;;25;;;;;;;;
Macroheterocycles;1998-9539;;20;;;;;;;;
MACROMOLECULAR BIOSCIENCE;1616-5187;;35;;;;;;;;
MACROMOLECULAR CHEMISTRY AND PHYSICS;1022-1352;;35;;;;;;;;
MACROMOLECULAR MATERIALS AND ENGINEERING;1438-7492;;35;;;;;;;;
MACROMOLECULAR RAPID COMMUNICATIONS;1022-1336;;40;;;;;;;;
Macromolecular Reaction Engineering;1862-832X;;25;;;;;;;;
MACROMOLECULAR RESEARCH;1598-5032;;25;;;;;;;;
MACROMOLECULAR THEORY AND SIMULATIONS;1022-1344;;30;;;;;;;;
MACROMOLECULES;0024-9297;;45;;;;;;;;
Madera y Bosques;1405-0471;;15;;;;;;;;
Maderas-Ciencia y Tecnologia;0718-221X;;30;;;;;;;;
Maejo International Journal of Science and Technology;1905-7873;;25;;;;;;;;
Magallania;0718-2244;;20;;;;;;;;
MAGAZINE OF CONCRETE RESEARCH;0024-9831;;25;;;;;;;;
MAGNESIUM RESEARCH;0953-1424;;15;;;;;;;;
MAGNETIC RESONANCE IMAGING;0730-725X;;30;;;;;;;;
Magnetic Resonance Imaging Clinics of North America;1064-9689;;25;;;;;;;;
MAGNETIC RESONANCE IN CHEMISTRY;0749-1581;;20;;;;;;;;
Magnetic Resonance in Medical Sciences;1347-3182;;20;;;;;;;;
MAGNETIC RESONANCE IN MEDICINE;0740-3194;;40;;;;;;;;
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY
AND MEDICINE;0968-5243;;30;;;;;;;;
Magnetohydrodynamics;0024-998X;;15;;;;;;;;
MAGYAR ALLATORVOSOK LAPJA;0025-004X;;15;;;;;;;;
MAIN GROUP CHEMISTRY;1024-1221;;20;;;;;;;;
MAIN GROUP METAL CHEMISTRY;0792-1241;;15;;;;;;;;
MALACOLOGIA;0076-2997;;30;;;;;;;;
MALARIA JOURNAL;1475-2875;;40;;;;;;;;
Malawi Medical Journal;1995-7262;;15;;;;;;;;
Malaysian Journal of Computer Science;0127-9084;;15;;;;;;;;
Malaysian Journal of Library & Information Science;1394-6234;;20;;;;;;;;
Malaysian Journal of Pathology;0126-8635;;15;;;;;;;;
Mammal Research;2199-2401;;25;;;;;;;;
MAMMAL REVIEW;0305-1838;;50;;;;;;;;
MAMMAL STUDY;1343-4152;;15;;;;;;;;
MAMMALIA;0025-1461;;20;;;;;;;;
MAMMALIAN BIOLOGY;1616-5047;;30;;;;;;;;
MAMMALIAN GENOME;0938-8990;;25;;;;;;;;
Mana;0104-9313;;20;;;;;;;;
Management Accounting Research;1044-5005;;35;;;;;;;;
Management and Organization Review;1740-8776;;35;;;;;;;;
Management Communication Quarterly;0893-3189;;30;;;;;;;;
MANAGEMENT DECISION;0025-1747;;30;;;;;;;;
